grid_cell_id,waste_concrete_network_input_t_per_year
NDGRD_1,0.0
NDGRD_2,0.0
NDGRD_3,0.0
NDGRD_4,0.0
NDGRD_5,0.0
NDGRD_6,0.0
NDGRD_7,0.0
NDGRD_8,0.0
NDGRD_9,0.0
NDGRD_10,0.0
NDGRD_11,0.0
NDGRD_12,0.0
NDGRD_13,0.0
NDGRD_14,0.0
NDGRD_15,0.0
NDGRD_16,0.0
NDGRD_17,0.0
NDGRD_18,0.0
NDGRD_19,0.0
NDGRD_20,0.0
NDGRD_21,0.0
NDGRD_22,0.0
NDGRD_23,0.0
NDGRD_24,0.0
NDGRD_25,0.0
NDGRD_26,0.0
NDGRD_27,0.0
NDGRD_28,0.0
NDGRD_29,0.0
NDGRD_30,0.0
NDGRD_31,0.0
NDGRD_32,58.498979999999996
NDGRD_33,0.0
NDGRD_34,0.0
NDGRD_35,0.0
NDGRD_36,0.0
NDGRD_37,0.0
NDGRD_38,0.0
NDGRD_39,0.0
NDGRD_40,0.0
NDGRD_41,0.0
NDGRD_42,0.0
NDGRD_43,0.0
NDGRD_44,0.0
NDGRD_45,0.0
NDGRD_46,0.0
NDGRD_47,0.0
NDGRD_48,0.0
NDGRD_49,0.0
NDGRD_50,4.7087037
NDGRD_51,672.3679199999999
NDGRD_52,0.0
NDGRD_53,0.0
NDGRD_54,0.0
NDGRD_55,0.0
NDGRD_56,0.0
NDGRD_57,0.0
NDGRD_58,0.0
NDGRD_59,0.0
NDGRD_60,0.0
NDGRD_61,0.0
NDGRD_62,38.273508
NDGRD_63,0.0
NDGRD_64,0.0
NDGRD_65,0.0
NDGRD_66,0.0
NDGRD_67,0.0
NDGRD_68,0.0
NDGRD_69,0.0
NDGRD_70,0.0
NDGRD_71,0.0
NDGRD_72,0.0
NDGRD_73,0.0
NDGRD_74,0.0
NDGRD_75,0.0
NDGRD_76,0.0
NDGRD_77,0.0
NDGRD_78,0.0
NDGRD_79,0.0
NDGRD_80,0.0
NDGRD_81,36.582891
NDGRD_82,0.0
NDGRD_83,0.0
NDGRD_84,0.0
NDGRD_85,0.0
NDGRD_86,0.0
NDGRD_87,0.0
NDGRD_88,0.0
NDGRD_89,22.316948999999997
NDGRD_90,0.0
NDGRD_91,0.0
NDGRD_92,0.0
NDGRD_93,0.0
NDGRD_94,0.0
NDGRD_95,0.0
NDGRD_96,0.0
NDGRD_97,0.0
NDGRD_98,0.0
NDGRD_99,10.2831234
NDGRD_100,0.0
NDGRD_101,0.0
NDGRD_102,21.509771999999998
NDGRD_103,0.0
NDGRD_104,0.0
NDGRD_105,0.0
NDGRD_106,9.374604000000001
NDGRD_107,0.0
NDGRD_108,0.0
NDGRD_109,0.0
NDGRD_110,0.0
NDGRD_111,0.0
NDGRD_112,19.8189972
NDGRD_113,1.73574141
NDGRD_114,2.648541
NDGRD_115,0.0
NDGRD_116,0.0
NDGRD_117,0.0
NDGRD_118,86.10175799999999
NDGRD_119,0.0
NDGRD_120,0.0
NDGRD_121,0.0
NDGRD_122,0.0
NDGRD_123,0.0
NDGRD_124,0.0
NDGRD_125,0.0
NDGRD_126,0.0
NDGRD_127,23.987106
NDGRD_128,27.042084
NDGRD_129,0.0
NDGRD_130,0.0
NDGRD_131,0.0
NDGRD_132,0.0
NDGRD_133,0.0
NDGRD_134,0.0
NDGRD_135,5.640874200000001
NDGRD_136,0.0
NDGRD_137,0.0
NDGRD_138,0.0
NDGRD_139,0.0
NDGRD_140,0.0
NDGRD_141,0.0
NDGRD_142,0.0
NDGRD_143,0.0
NDGRD_144,0.0
NDGRD_145,0.0
NDGRD_146,0.0
NDGRD_147,0.0
NDGRD_148,0.0
NDGRD_149,0.0
NDGRD_150,0.0
NDGRD_151,0.0
NDGRD_152,0.0
NDGRD_153,0.0
NDGRD_154,0.0
NDGRD_155,0.0
NDGRD_156,0.0
NDGRD_157,0.0
NDGRD_158,0.0
NDGRD_159,0.0
NDGRD_160,0.0
NDGRD_161,0.0
NDGRD_162,0.0
NDGRD_163,0.0
NDGRD_164,2.4984279
NDGRD_165,357.87639
NDGRD_166,15.3354648
NDGRD_167,0.0
NDGRD_168,0.0
NDGRD_169,0.0
NDGRD_170,0.0
NDGRD_171,0.0
NDGRD_172,0.0
NDGRD_173,0.0
NDGRD_174,0.0
NDGRD_175,0.0
NDGRD_176,0.0
NDGRD_177,0.0
NDGRD_178,0.0
NDGRD_179,0.0
NDGRD_180,0.0
NDGRD_181,0.0
NDGRD_182,0.0
NDGRD_183,0.0
NDGRD_184,50.694756
NDGRD_185,244.073481
NDGRD_186,2.0598687
NDGRD_187,4.900271399999999
NDGRD_188,75.78205799999999
